Pair,Left,Right,BestWindow,PValue,Beta,HalfLife,Z,Conviction,ConvictionBand,Signal,Action,Notes,StationarityP,Stationary,VolRegime,SpreadVol,SuggestedNotional,JohansenTrace,JohansenCrit,JohansenPass,GrowthPhase,PhaseGuidance,SR_Deviation,SR_Signal_Strength,JohansenStrength,NL_Description
AMAT-AMD,AMAT,AMD,252,0.14197163231920873,0.4671240740793537,11.689616558849522,1.7237824930202859,1.3447564986040572,Low,HOLD,HOLD,β=0.467; HL=11.7; Z=1.72; p=0.1420; W=252,0.0486813350615829,True,Normal,4.163191765779985,,10.892632851277774,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.7203588898532272,Mild,-4.6016671487222265,"AMAT-AMD spread is mild stretched at +1.72s, HL=11.7d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AAPL-QCOM,AAPL,QCOM,180,0.1885925855671281,1.275125201877101,8.502887707211361,1.657813803562563,1.3315627607125124,Low,HOLD,HOLD,β=1.275; HL=8.5; Z=1.66; p=0.1886; W=180,0.06998357661659015,True,Normal,4.381976858165632,,13.021028332492468,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.6532023515044647,Mild,-2.4732716675075324,"AAPL-QCOM spread is mild stretched at +1.65s, HL=8.5d, in a reset regime, with weak Johansen evidence. Conviction: Low."
NVDA-TSLA,NVDA,TSLA,60,0.17215151378316568,0.05191362568640727,3.6102629033798244,-0.349730345633271,1.3074838830221807,Low,HOLD,HOLD,β=0.052; HL=3.6; Z=-0.35; p=0.1722; W=60,0.06324846521626507,True,Normal,3.0164439123359386,,9.349752241132819,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.3468036804098553,Inside Band,-6.144547758867182,"NVDA-TSLA spread is inside its ±1s band, HL=3.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
CSCO-PEP,CSCO,PEP,90,0.16750645109003948,0.16940495408340928,4.638285847741967,-0.17082577549199804,1.2840734369247695,Low,HOLD,HOLD,β=0.169; HL=4.6; Z=-0.17; p=0.1675; W=90,0.06004817867215758,True,Low,0.8362399098958578,,14.023991795268376,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.1698740924576325,Inside Band,-1.4703082047316247,"CSCO-PEP spread is inside its ±1s band, HL=4.6d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
INTU-NVDA,INTU,NVDA,30,0.1590646294722503,1.2148663018454684,3.185030900243286,0.941566135741602,1.2815427035073084,Low,HOLD,HOLD,β=1.215; HL=3.2; Z=0.94; p=0.1591; W=30,0.05616539427169787,True,Normal,10.778396927640943,,,,False,Maturity,Default regime,0.9257403676929046,Inside Band,,"INTU-NVDA spread is inside its ±1s band, HL=3.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMD-CSCO,AMD,CSCO,180,0.17617658338721665,5.554160780635575,8.799877567060348,0.7819651458718986,1.272269943395843,Low,HOLD,HOLD,β=5.554; HL=8.8; Z=0.78; p=0.1762; W=180,0.06405629811668347,True,Low,4.969301698212887,,9.617482796356294,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.7797899952165336,Inside Band,-5.876817203643707,"AMD-CSCO spread is inside its ±1s band, HL=8.8d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AVGO-GOOGL,AVGO,GOOGL,90,0.11531850417584044,1.2148847690894977,3.4750839217523484,-1.1530268144340452,1.230605362886809,Low,HOLD,HOLD,β=1.215; HL=3.5; Z=-1.15; p=0.1153; W=90,0.03853567418004702,True,Normal,7.671245899063406,,8.82147030270205,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-1.1466032167404008,Mild,-6.672829697297951,"AVGO-GOOGL spread is mild stretched at -1.15s, HL=3.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
BKNG-INTU,BKNG,INTU,252,0.10940388206410118,5.523841166348678,13.061252012367518,1.0833377531011477,1.2166675506202296,Low,HOLD,HOLD,β=5.524; HL=13.1; Z=1.08; p=0.1094; W=252,0.034314642992870514,True,Normal,80.67957143318846,,10.600977611514079,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.0811861367704743,Mild,-4.893322388485922,"BKNG-INTU spread is mild stretched at +1.08s, HL=13.1d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AMAT-GOOGL,AMAT,GOOGL,252,0.1460326211961644,0.23502691370860407,14.742697974347964,1.0823342138752103,1.216466842775042,Low,HOLD,HOLD,β=0.235; HL=14.7; Z=1.08; p=0.1460; W=252,0.049673231190037595,True,Normal,4.647502353504227,,8.880865996430337,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",1.0801845906730705,Mild,-6.6134340035696635,"AMAT-GOOGL spread is mild stretched at +1.08s, HL=14.7d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AAPL-INTC,AAPL,INTC,180,0.10265721678348194,3.5367165814895607,8.014403295755587,-0.748901582284109,1.1497803164568219,Low,HOLD,HOLD,β=3.537; HL=8.0; Z=-0.75; p=0.1027; W=180,0.03265627545601115,True,Normal,5.199712740548971,,10.075059519271905,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",-0.7468184027765455,Inside Band,-5.419240480728096,"AAPL-INTC spread is inside its ±1s band, HL=8.0d, in a reset regime, with weak Johansen evidence. Conviction: Low."
QCOM-QQQ,QCOM,QQQ,252,0.1209288662572463,0.09433041687053552,10.338934673143092,0.7375393385925028,1.1475078677185007,Low,HOLD,HOLD,β=0.094; HL=10.3; Z=0.74; p=0.1209; W=252,0.03973650127060799,True,Normal,3.0235012962099685,,9.797091754866631,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.7360745122436682,Inside Band,-5.697208245133369,"QCOM-QQQ spread is inside its ±1s band, HL=10.3d, in a reset regime, with weak Johansen evidence. Conviction: Low."
AVGO-QCOM,AVGO,QCOM,30,0.1631187907008444,2.9693050449214438,4.520859502176293,-0.7174109176275426,1.1434821835255085,Low,HOLD,HOLD,β=2.969; HL=4.5; Z=-0.72; p=0.1631; W=30,0.062297518914489154,True,Normal,11.440238563677923,,,,False,Maturity,Default regime,-0.7053527324964106,Inside Band,,"AVGO-QCOM spread is inside its ±1s band, HL=4.5d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
QCOM-SPY,QCOM,SPY,252,0.1129739631727017,0.12599407615535216,10.268563289812063,0.58935340461136,1.117870680922272,Low,HOLD,HOLD,β=0.126; HL=10.3; Z=0.59; p=0.1130; W=252,0.03651113660086244,True,Normal,2.9131306033820272,,9.435478583236007,15.4943,False,Reset,"Expect longer holding periods, reversion is slower",0.588182890239208,Inside Band,-6.058821416763994,"QCOM-SPY spread is inside its ±1s band, HL=10.3d, in a reset regime, with weak Johansen evidence. Conviction: Low."
MSFT-PEP,MSFT,PEP,90,0.18934090614292176,2.136131061168566,4.545588217621174,0.4441543707850454,1.0888308741570092,Low,HOLD,HOLD,β=2.136; HL=4.5; Z=0.44; p=0.1893; W=90,0.071635056237865,True,Normal,6.942315553810182,,18.408217688660052,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.44167995392319864,Inside Band,2.9139176886600513,"MSFT-PEP spread is inside its ±1s band, HL=4.5d, in a maturity regime, with strong Johansen pass (gap +2.91). Conviction: Low."
META-NVDA,META,NVDA,180,0.12237636876811364,2.553847823417007,7.688957484271185,-0.4173625313233793,1.083472506264676,Low,HOLD,HOLD,β=2.554; HL=7.7; Z=-0.42; p=0.1224; W=180,0.040525204894570746,True,Normal,13.827088099026636,,7.84321176409389,15.4943,False,Maturity,Default regime,-0.4162015762752862,Inside Band,-7.651088235906111,"META-NVDA spread is inside its ±1s band, HL=7.7d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMD-PEP,AMD,PEP,90,0.12576503016744506,2.485109584090063,3.7353851266049594,0.2948775396998967,1.0589755079399794,Low,HOLD,HOLD,β=2.485; HL=3.7; Z=0.29; p=0.1258; W=90,0.042910757521272165,True,Normal,6.351592825172247,,16.005002560426004,15.4943,True,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.29323475510875635,Inside Band,0.5107025604260027,"AMD-PEP spread is inside its ±1s band, HL=3.7d, in a maturity regime, with strong Johansen pass (gap +0.51). Conviction: Low."
CSCO-MSFT,CSCO,MSFT,180,0.09080209278588652,0.07453192961298916,6.930934336841632,-0.2895028547789491,1.0579005709557898,Low,HOLD,HOLD,β=0.075; HL=6.9; Z=-0.29; p=0.0908; W=180,0.028084361646754354,True,Low,0.818842604263239,,13.935932499138021,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",-0.28869756015983883,Inside Band,-1.55836750086198,"CSCO-MSFT spread is inside its ±1s band, HL=6.9d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
AMZN-CSCO,AMZN,CSCO,90,0.05330704361781216,3.038934381552057,3.7162098102644214,-0.2634247849071458,1.0526849569814292,Low,HOLD,HOLD,β=3.039; HL=3.7; Z=-0.26; p=0.0533; W=90,0.015147692561339509,True,Normal,4.0305859322172815,,18.078924049307933,15.4943,True,Maturity,Default regime,-0.2619572259400901,Inside Band,2.5846240493079318,"AMZN-CSCO spread is inside its ±1s band, HL=3.7d, in a maturity regime, with strong Johansen pass (gap +2.58). Conviction: Low."
AMD-META,AMD,META,90,0.19930197064838118,0.4375675933399923,4.179961450717366,0.0649614428637951,1.012992288572759,Low,HOLD,HOLD,β=0.438; HL=4.2; Z=0.06; p=0.1993; W=90,0.07659460431268103,True,Normal,6.702597100292096,,12.3047015233386,15.4943,False,Maturity,"Stick to standard entries, HL stable, clean mean reverts",0.06459953785921763,Inside Band,-3.1895984766614003,"AMD-META spread is inside its ±1s band, HL=4.2d, in a maturity regime, with weak Johansen evidence. Conviction: Low."
